length,segment_over_sqrt_length
1.260000000000000000e+02,1.781741612749495829e+00
1.270000000000000000e+02,1.774713018832227762e+00
1.280000000000000000e+02,1.767766952966368654e+00
1.290000000000000000e+02,1.760901812651247678e+00
1.300000000000000000e+02,1.754116038614058626e+00
1.310000000000000000e+02,1.747408113322075796e+00
1.320000000000000000e+02,1.740776559556978409e+00
1.330000000000000000e+02,1.734219939048239789e+00
1.340000000000000000e+02,1.727736851162720244e+00
1.350000000000000000e+02,1.721325931647740948e+00
1.360000000000000000e+02,1.714985851425088192e+00
1.370000000000000000e+02,1.708715315433521731e+00
1.380000000000000000e+02,1.702513061517497261e+00
1.390000000000000000e+02,1.781196752327939059e+00
1.400000000000000000e+02,1.774823934929884883e+00
1.410000000000000000e+02,1.768519034239689924e+00
1.420000000000000000e+02,1.762280852423047106e+00
1.430000000000000000e+02,1.756108221014890614e+00
1.440000000000000000e+02,1.750000000000000000e+00
1.450000000000000000e+02,1.743955076928539238e+00
1.460000000000000000e+02,1.737972366064972629e+00
1.470000000000000000e+02,1.732050807568877415e+00
1.480000000000000000e+02,1.726189366706251560e+00
1.490000000000000000e+02,1.720387033089985085e+00
1.500000000000000000e+02,1.714642819948224650e+00
1.510000000000000000e+02,1.708955763419434781e+00
1.520000000000000000e+02,1.703324921873006881e+00
1.530000000000000000e+02,1.697749375254330895e+00
1.540000000000000000e+02,1.772810520855836680e+00
1.550000000000000000e+02,1.767082523585497444e+00
1.560000000000000000e+02,1.761409691855958526e+00
1.570000000000000000e+02,1.755791145828768718e+00
1.580000000000000000e+02,1.750226025186605971e+00
1.590000000000000000e+02,1.744713488579917149e+00
1.600000000000000000e+02,1.739252713092608538e+00
1.610000000000000000e+02,1.733842893726021517e+00
1.620000000000000000e+02,1.728483242900449524e+00
1.630000000000000000e+02,1.723172989973506208e+00
1.640000000000000000e+02,1.717911380774666652e+00
1.650000000000000000e+02,1.712697677155350595e+00
1.660000000000000000e+02,1.707531156553932172e+00
1.670000000000000000e+02,1.702411111575101055e+00
1.680000000000000000e+02,1.697336849583011009e+00
1.690000000000000000e+02,1.769230769230769162e+00
1.700000000000000000e+02,1.764019474348951899e+00
1.710000000000000000e+02,1.758853959674306910e+00
1.720000000000000000e+02,1.753733558824953631e+00
1.730000000000000000e+02,1.748657618920322676e+00
1.740000000000000000e+02,1.743625500231477776e+00
1.750000000000000000e+02,1.738636575842445353e+00
1.760000000000000000e+02,1.733690231322140951e+00
1.770000000000000000e+02,1.728785864406506390e+00
1.780000000000000000e+02,1.723922884690481272e+00
1.790000000000000000e+02,1.719100713329452468e+00
1.800000000000000000e+02,1.714318782749838732e+00
1.810000000000000000e+02,1.709576536368482502e+00
1.820000000000000000e+02,1.704873428320532680e+00
1.830000000000000000e+02,1.700208923195517530e+00
1.840000000000000000e+02,1.769303473858765630e+00
1.850000000000000000e+02,1.764515093025138537e+00
1.860000000000000000e+02,1.759765380256239631e+00
1.870000000000000000e+02,1.755053817905113389e+00
1.880000000000000000e+02,1.750379897974734700e+00
1.890000000000000000e+02,1.745743121887938898e+00
1.900000000000000000e+02,1.741143000264028018e+00
1.910000000000000000e+02,1.736579052701811898e+00
1.920000000000000000e+02,1.732050807568877415e+00
1.930000000000000000e+02,1.727557801796866910e+00
1.940000000000000000e+02,1.723099580682571519e+00
1.950000000000000000e+02,1.718675697694638904e+00
1.960000000000000000e+02,1.714285714285714191e+00
1.970000000000000000e+02,1.709929199709831593e+00
1.980000000000000000e+02,1.705605730844883539e+00
1.990000000000000000e+02,1.772203012520839671e+00
2.000000000000000000e+02,1.767766952966368654e+00
2.010000000000000000e+02,1.763364039646495574e+00
2.020000000000000000e+02,1.758993861825729699e+00
2.030000000000000000e+02,1.754656015858991225e+00
2.040000000000000000e+02,1.750350105035012094e+00
2.050000000000000000e+02,1.746075739423945450e+00
2.060000000000000000e+02,1.741832535729044285e+00
2.070000000000000000e+02,1.737620117142289589e+00
2.080000000000000000e+02,1.733438113203841002e+00
2.090000000000000000e+02,1.729286159665186506e+00
2.100000000000000000e+02,1.725163898355885683e+00
2.110000000000000000e+02,1.721070977053785533e+00
2.120000000000000000e+02,1.717007049358612925e+00
2.130000000000000000e+02,1.712971774568829098e+00
